id_estudiante,Semestre,Comunicacion Oral y Escrita,"Etica, Identidad y Profesion",Desafios Eticos Contemporaneos
00000011,1,7.5,6.5,10
00000012,2,9.4,5,5
00000013,3,10,5.1,5
00000014,4,5,7.8,7.9
00000015,5,7.1,5.2,9.4
00000016,6,9.1,7.0,9.5
00000017,7,10,10,5
00000018,8,7.8,8.4,5
00000019,9,9.3,8.2,10
00000110,10,7.2,8.2,9.4
00000021,1,7.9,7.3,6.6
00000022,2,10,5.6,10
00000023,3,5.0,5,7.8
00000024,4,5.9,8.1,10
00000025,5,5,7.0,9.6
00000026,6,9.2,5.5,7.9
00000027,7,5,9.9,9.9
00000028,8,10,10,9.5
00000029,9,10,10,10
00000210,10,5.5,5,5
00000031,1,5.3,6.7,10
00000032,2,10,9.1,5
00000033,3,8.2,6.8,8.4
00000034,4,5,10,5.2
00000035,5,8.7,9.3,6.6
00000036,6,7.0,6.1,6.0
00000037,7,5,7.9,8.5
00000038,8,7.3,10,5.9
00000039,9,9.1,7.3,5
00000310,10,10,6.6,10
00000041,1,9.4,5,8.6
00000042,2,7.8,8.7,5
00000043,3,8.2,9.0,6.7
00000044,4,9.3,10,10.0
00000045,5,9.2,8.4,6.4
00000046,6,5,9.7,10
00000047,7,6.7,8.2,10
00000048,8,10,5,7.5
00000049,9,7.4,6.0,5.1
00000410,10,10,10,7.6
00000051,1,9.8,10,5.5
00000052,2,10,10,5.1
00000053,3,5.2,10,10
00000054,4,6.5,5,10
00000055,5,9.3,5,8.1
00000056,6,7.6,10,6.6
00000057,7,6.0,9.9,5.5
00000058,8,6.3,5,8.8
00000059,9,5,10,10
00000510,10,6.6,10,10
00000061,1,5,5,10
00000062,2,10,5,10
00000063,3,10,7.2,5
00000064,4,8.1,5.5,7.1
00000065,5,9.7,8.0,5
00000066,6,8.8,10,8.3
00000067,7,5,5.4,9.8
00000068,8,5.9,8.0,5
00000069,9,8.1,10,8.1
00000610,10,7.7,5,6.9
00000071,1,6.6,5,9.9
00000072,2,8.5,10,5.8
00000073,3,5,10,7.0
00000074,4,5,10,6.7
00000075,5,5,8.3,5
00000076,6,6.3,9.3,7.8
00000077,7,10,6.4,10
00000078,8,8.7,8.5,10.0
00000079,9,9.0,6.7,10
00000710,10,9.5,10,8.6
00000081,1,5,6.4,6.3
00000082,2,9.8,10,5
00000083,3,5,10,10
00000084,4,5.5,5.4,5.0
00000085,5,9.3,10,6.7
00000086,6,5,9.3,10
00000087,7,6.2,9.0,6.6
00000088,8,5,9.3,5
00000089,9,10,10,10
00000810,10,5,8.4,7.6
00000091,1,5,8.0,10
00000092,2,6.1,10,5.1
00000093,3,7.9,5.2,5.5
00000094,4,10,9.5,9.9
00000095,5,5,10,8.2
00000096,6,9.1,8.0,10
00000097,7,8.7,6.5,8.7
00000098,8,7.2,5.1,9.1
00000099,9,10,7.7,5
00000910,10,10,9.5,5
00000101,1,5.8,5.3,10
00000102,2,6.7,5,9.3
00000103,3,5,6.2,8.9
00000104,4,10,10,9.9
00000105,5,7.8,7.2,5.7
00000106,6,10,7.1,10
00000107,7,8.3,9.2,7.2
00000108,8,7.1,5.7,9.2
00000109,9,10,9.8,5.4
00001010,10,8.6,9.0,8.7
00000111,1,9.6,10,10
00000112,2,5,10,10
00000113,3,10,6.4,9.7
00000114,4,6.9,6.7,9.6
00000115,5,5.2,8.7,7.3
00000116,6,10,7.6,5.2
00000117,7,10,9.1,9.8
00000118,8,5,8.9,8.7
00000119,9,8.1,10,10
00001110,10,5.6,7.1,9.2
00000121,1,5,7.7,8.9
00000122,2,8.8,9.0,10
00000123,3,7.2,10,9.7
00000124,4,10,5,5.6
00000125,5,10,7.5,7.5
00000126,6,9.4,5.1,8.5
00000127,7,5,7.2,6.7
00000128,8,5,8.5,7.1
00000129,9,8.8,5,9.6
00001210,10,10,8.0,5
00000131,1,6.5,6.3,7.3
00000132,2,6.3,10,5.8
00000133,3,9.5,6.9,5.4
00000134,4,10,7.7,9.6
00000135,5,10,5,10
00000136,6,10,9.1,6.0
00000137,7,9.1,10,5
00000138,8,10,5,10
00000139,9,5,5.7,10
00001310,10,10,5,10
00000141,1,5.8,8.7,8.9
00000142,2,6.4,8.5,7.7
00000143,3,10,6.1,5.6
00000144,4,6.6,10,9.0
00000145,5,9.7,6.4,10
00000146,6,5,6.6,8.4
00000147,7,5.2,5,9.0
00000148,8,9.9,10,5
00000149,9,5,10,6.2
00001410,10,8.4,9.7,9.6
00000151,1,6.0,5.5,10
00000152,2,10,8.3,5
00000153,3,9.8,8.6,9.3
00000154,4,10,5.4,7.8
00000155,5,6.9,7.7,9.5
00000156,6,7.4,5.4,6.9
00000157,7,10,5,5.4
00000158,8,5,8.7,7.8
00000159,9,9.9,7.6,6.3
00001510,10,10,9.6,7.5
00000161,1,10,8.8,6.9
00000162,2,8.8,6.0,10
00000163,3,10,5.0,5.5
00000164,4,8.4,10,8.7
00000165,5,8.3,9.4,6.2
00000166,6,6.9,8.8,9.6
00000167,7,8.6,9.2,5.5
00000168,8,8.5,8.6,8.1
00000169,9,8.4,5.9,9.1
00001610,10,10,5,5.1
00000171,1,9.8,6.9,10
00000172,2,7.0,8.2,9.3
00000173,3,5,5,10
00000174,4,5,5,5
00000175,5,10,10,10
00000176,6,10,7.9,10
00000177,7,10,9.8,7.8
00000178,8,8.4,9.3,7.9
00000179,9,8.1,7.4,5
00001710,10,8.8,10,9.3
00000181,1,7.1,8.2,8.5
00000182,2,5,5,10
00000183,3,5.6,5.2,9.5
00000184,4,9.6,8.8,10
00000185,5,7.2,10,9.7
00000186,6,8.2,5,8.2
00000187,7,5,6.7,7.7
00000188,8,10,7.2,10
00000189,9,10,5,6.4
00001810,10,8.3,10,8.8
00000191,1,5,10,7.1
00000192,2,5.3,5.2,5
00000193,3,5,5.0,7.2
00000194,4,9.0,6.5,10
00000195,5,8.8,6.1,8.7
00000196,6,6.3,7.7,6.5
00000197,7,5,6.6,5
00000198,8,7.8,10,5
00000199,9,10,10,6.2
00001910,10,8.4,8.4,5
00000201,1,7.6,5.8,7.3
00000202,2,6.9,7.9,10
00000203,3,8.6,7.4,5
00000204,4,10,10,6.8
00000205,5,5,8.9,8.7
00000206,6,8.8,5,5
00000207,7,8.6,8.9,7.6
00000208,8,6.7,7.9,6.2
00000209,9,10,7.9,10
00002010,10,6.4,7.2,10
00000211,1,5,9.0,6.5
00000212,2,6.0,7.2,8.6
00000213,3,5,6.7,10
00000214,4,5.4,9.6,10
00000215,5,9.4,8.0,10
00000216,6,6.8,10,10
00000217,7,5,7.4,8.0
00000218,8,5,8.7,5
00000219,9,5.4,9.6,10
00002110,10,9.4,7.9,5.7
00000221,1,5.3,5,5.2
00000222,2,6.9,8.3,10
00000223,3,5,10,9.3
00000224,4,8.8,7.7,8.5
00000225,5,10,5,6.2
00000226,6,5,10,8.3
00000227,7,8.2,9.8,10
00000228,8,8.6,10,6.0
00000229,9,5.7,6.3,5
00002210,10,8.3,7.6,5
00000231,1,7.2,10,5.4
00000232,2,9.0,7.9,5
00000233,3,5.9,9.8,8.2
00000234,4,5,10,10
00000235,5,7.0,9.2,8.0
00000236,6,10,10,8.7
00000237,7,8.6,9.2,5.6
00000238,8,6.9,10,10
00000239,9,10,7.0,9.9
00002310,10,7.5,7.6,5
00000241,1,10,10,8.2
00000242,2,9.8,5,7.8
00000243,3,10,10,10
00000244,4,7.4,5,9.2
00000245,5,6.4,10,10
00000246,6,6.3,10,9.0
00000247,7,10,10,7.5
00000248,8,10,10,5
00000249,9,10.0,10,8.4
00002410,10,10,6.6,7.3
00000251,1,10,6.1,10
00000252,2,10,7.2,10
00000253,3,5.3,8.2,10
00000254,4,10,8.5,6.7
00000255,5,7.1,5,8.4
00000256,6,5,10,6.8
00000257,7,10,5,10
00000258,8,5,5,5.6
00000259,9,5,9.0,5.4
00002510,10,5,10,7.0
00000261,1,5,10,5
00000262,2,5.8,9.3,10
00000263,3,5,9.1,5
00000264,4,9.8,6.9,7.2
00000265,5,10,6.6,9.3
00000266,6,5,9.6,7.4
00000267,7,5,8.9,7.1
00000268,8,5,5.3,8.5
00000269,9,8.1,10,10
00002610,10,5,6.0,5
00000271,1,7.9,5,10
00000272,2,5.1,7.1,7.4
00000273,3,10,5.6,10
00000274,4,10,5,8.1
00000275,5,9.4,6.8,5.5
00000276,6,9.0,5,7.9
00000277,7,7.3,10,7.3
00000278,8,10,6.6,7.6
00000279,9,7.7,10,10
00002710,10,10,10,5
00000281,1,5,5.5,5.2
00000282,2,5,7.5,6.5
00000283,3,5.5,9.0,9.3
00000284,4,6.8,10,9.0
00000285,5,10,9.3,6.5
00000286,6,10,5,5
00000287,7,5.5,8.8,5
00000288,8,9.2,7.3,6.6
00000289,9,8.6,8.9,5.9
00002810,10,10,10,9.4
00000291,1,5,7.7,8.7
00000292,2,8.7,6.8,10
00000293,3,9.5,5.7,6.8
00000294,4,7.4,9.1,8.9
00000295,5,9.2,8.7,7.8
00000296,6,6.2,8.7,5.3
00000297,7,10,10,5
00000298,8,7.9,5,10
00000299,9,9.9,9.1,10
00002910,10,10,10,6.7
00000301,1,9.1,10,10
00000302,2,5.9,6.2,10
00000303,3,7.0,10,5.3
00000304,4,10,8.2,10
00000305,5,10,10,7.8
00000306,6,8.0,5,8.2
00000307,7,9.7,10,10
00000308,8,8.9,9.7,5
00000309,9,5.8,10,9.8
00003010,10,5.7,10,10
00000311,1,5.6,9.7,5
00000312,2,8.2,7.9,7.9
00000313,3,5.8,10,10
00000314,4,7.7,7.7,7.0
00000315,5,8.0,8.7,7.6
00000316,6,5.4,5,6.4
00000317,7,5.9,9.2,9.4
00000318,8,6.5,7.8,5.3
00000319,9,7.9,8.1,5
00003110,10,9.7,10,8.5
00000321,1,6.2,9.8,6.2
00000322,2,5.6,7.3,8.3
00000323,3,6.3,9.7,10
